Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:5Gt9bxniM1SxN61yRzRhXL,0.529,0.845,8,-8.142,1,0.404,0.244,0.0,0.143,0.331,85.63,255378,3
spotify:track:0fX4oNGBWO3dSGUZcVdVV2,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
spotify:track:66mVPWmFvXPFf8pjK5ttOW,0.514,0.472,8,-11.106,0,0.368,0.753,0.00012,0.0746,0.557,77.215,203367,3
spotify:track:2g6tReTlM2Akp41g0HaeXN,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,239027,4
spotify:track:28qA8y1sz0FTuSapsCxNOG,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,222497,4
spotify:track:15pyFQHCTVp6T7vaWctSgO,0.481,0.406,7,-11.52,1,0.0775,0.864,0.000315,0.0869,0.741,91.589,103319,4
spotify:track:1QPreu0BNOrUfEb8HTd2qG,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285,4
spotify:track:67XC51nlZncNpHmZ8rOU9a,0.648,0.68,11,-7.276,1,0.345,0.292,0.0,0.0808,0.504,106.89,341307,3
spotify:track:1REVvAphiSTJyKQ1fDpHa4,0.567,0.824,3,-6.973,0,0.296,0.167,2.65e-06,0.149,0.737,138.202,329295,4
spotify:track:6BU1RZexmvJcBjgagVVt3M,0.776,0.431,4,-7.544,0,0.091,0.671,0.0,0.153,0.495,133.999,283642,4
spotify:track:4zMxWSP2qZUy5CBCH5PdzZ,0.355,0.245,1,-13.475,0,0.0358,0.801,9.11e-05,0.112,0.162,173.329,264299,4
spotify:track:3lzUeaCbcCDB5IXYfqWRlF,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779,4
spotify:track:5G4uLkFKdEZLcuNyeomQmE,0.618,0.43,5,-9.38,0,0.216,0.807,0.0,0.189,0.826,117.125,152986,4
spotify:track:3drdWsJKiVCSQ2gKhd9BDT,0.605,0.692,8,-7.45,1,0.446,0.495,0.0,0.303,0.685,124.84,224466,5
spotify:track:1uY1X8YeBixs1FdQ3fQ7d4,0.52,0.375,0,-13.409,1,0.358,0.745,0.0122,0.429,0.589,127.544,281070,5
spotify:track:6CmpZfKUQ2KerzBFZ3QKFr,0.727,0.53,9,-8.616,1,0.312,0.283,2.76e-05,0.392,0.258,174.025,210841,3
spotify:track:346SJSEbB6pNZMpwovxDiu,0.492,0.369,8,-14.861,0,0.329,0.87,2.85e-05,0.11,0.491,140.012,406528,4
spotify:track:5xoYormSTltk6F9SlQV6mm,0.652,0.67,2,-8.766,1,0.0639,0.225,1.4e-05,0.0804,0.274,91.933,256008,4
spotify:track:5qbhVL3vB7HwWvb0042B7y,0.7,0.812,1,-8.128,0,0.297,0.183,0.0,0.0756,0.801,97.405,332229,4
